Rank,Player,Team,Big Chances Missed,Shot Conversion Rate (%),Minutes,Matches,Country
215,Florian Grillitsch,TSG Hoffenheim,1,4.8,2297,30,AUT
216,Philipp Mwene,1. FSV Mainz 05,1,4.2,2003,23,AUT
217,Joshua Kimmich,Bayern München,1,4,2185,28,GER
218,Anthony Losilla,VfL Bochum,1,3.6,2586,31,FRA
219,Karim Onisiwo,1. FSV Mainz 05,1,3,1496,24,AUT
219,Linton Maina,FC Köln,1,3,1904,31,GER
221,Marco Richter,1. FSV Mainz 05,1,2.6,713,20,GER
222,Aissa Laidouni,1. FC Union Berlin,1,0,1064,23,TUN
222,Bouna Sarr,Bayern München,1,0,105,2,SEN
222,Braydon Manu,SV Darmstadt,1,0,171,4,GHA
222,Bryan Zaragoza,Bayern München,1,0,178,7,ESP
222,Cedric Zesiger,VfL Wolfsburg,1,0,1634,23,SUI
222,Dejan Ljubicic,FC Köln,1,0,2055,26,AUT
222,Diogo Leite,1. FC Union Berlin,1,0,2708,32,POR
222,Edmond Tapsoba,Bayer 04 Leverkusen,1,0,2084,28,BFA
222,Eljif Elmas,RB Leipzig,1,0,256,14,MKD
222,Fabio Torsiello,SV Darmstadt,1,0,147,10,ITA
222,Fraser Hornby,SV Darmstadt,1,0,214,7,SCO
222,Gerrit Holtmann,SV Darmstadt,1,0,388,10,PHI
222,Giovanni Reyna,Borussia Dortmund,1,0,271,11,USA
222,Jakub Kaminski,VfL Wolfsburg,1,0,465,17,POL
222,Jérôme Roussillon,1. FC Union Berlin,1,0,743,23,FRA
222,Josip Juranovic,1. FC Union Berlin,1,0,1290,21,CRO
222,Julian Chabot,FC Köln,1,0,2707,32,GER
222,Kevin Akpoguma,TSG Hoffenheim,1,0,1095,17,NGA
222,Kevin Vogt,TSG Hoffenheim,1,0,2643,32,GER
222,Kilian Sildillia,SC Freiburg,1,0,1804,27,FRA
222,Klaus Gjasula,SV Darmstadt,1,0,1366,22,ALB
222,Konrad Laimer,Bayern München,1,0,1770,29,AUT
222,Luca Netz,Borussia Mönchengladbach,1,0,2231,30,GER
222,Luca Raimund,VfB Stuttgart,1,0,28,3,GER
222,Mergim Berisha,TSG Hoffenheim,1,0,263,8,GER
222,Merveille Papela,1. FSV Mainz 05,1,0,253,11,GER
