Rank,Player,Team,Big Chances Created,Total Assists,Minutes,Matches,Country
36,Mitchell Weiser,SV Werder Bremen,8,7,2639,30,GER
37,Dani Olmo,RB Leipzig,8,5,1454,21,ESP
37,Exequiel Palacios,Bayer 04 Leverkusen,8,5,1840,24,ARG
39,Maximilian Mittelstaedt,VfB Stuttgart,8,4,2104,31,GER
40,Silvan Widmer,1. FSV Mainz 05,8,3,1243,20,SUI
41,Dejan Ljubicic,FC Köln,8,2,2055,26,AUT
42,Niclas Füllkrug,Borussia Dortmund,7,8,2405,31,GER
43,Pascal Stenzel,VfB Stuttgart,7,5,1068,23,GER
44,Enzo Millot,VfB Stuttgart,7,4,2254,31,FRA
44,Eren Dinkci,1. FC Heidenheim 1846,7,4,2672,33,TUR
46,Jordan Pefok,Borussia Mönchengladbach,7,3,1450,26,USA
47,Christopher Antwi-Adjej,VfL Bochum,7,2,1216,25,GHA
48,Roland Sallai,SC Freiburg,7,0,1850,27,HUN
49,Omar Marmoush,Eintracht Frankfurt,6,6,2310,29,EGY
50,Angelo Stiller,VfB Stuttgart,6,5,2780,32,GER
50,Lovro Majer,VfL Wolfsburg,6,5,2116,32,CRO
50,Mathys Tel,Bayern München,6,5,1031,30,FRA
53,Kevin Volland,1. FC Union Berlin,6,4,1346,26,GER
53,Luca Netz,Borussia Mönchengladbach,6,4,2231,30,GER
53,Marius Bülter,TSG Hoffenheim,6,4,1346,30,GER
56,Anthony Caci,1. FSV Mainz 05,6,3,2493,31,FRA
56,Anton Stach,TSG Hoffenheim,6,3,2497,33,GER
56,Konrad Laimer,Bayern München,6,3,1770,29,AUT
56,Linton Maina,FC Köln,6,3,1904,31,GER
56,Marcel Sabitzer,Borussia Dortmund,6,3,1964,25,AUT
56,Robin Gosens,1. FC Union Berlin,6,3,2297,30,GER
62,Silas Katompa Mvumpa,VfB Stuttgart,6,2,890,27,COD
63,Grischa Prömel,TSG Hoffenheim,5,5,2146,28,GER
63,Ihlas Bebou,TSG Hoffenheim,5,5,1628,32,TOG
65,Alassane Plea,Borussia Mönchengladbach,5,4,1925,27,FRA
65,Fredrik Jensen,FC Augsburg,5,4,1350,22,FIN
65,Jamie Leweling,VfB Stuttgart,5,4,1519,34,GER
68,Eric Ebimbe,Eintracht Frankfurt,5,3,1967,31,FRA
68,Jae-Sung Lee,1. FSV Mainz 05,5,3,2124,29,KOR
68,Mattias Svanberg,VfL Wolfsburg,5,3,1725,25,SWE
68,Merlin Röhl,SC Freiburg,5,3,1483,24,GER
68,Noussair Mazraoui,Bayern München,5,3,1197,19,MAR
68,Tim Kleindienst,1. FC Heidenheim 1846,5,3,2874,33,GER
74,Leonardo Bittencourt,SV Werder Bremen,5,2,1585,29,GER
74,Mario Götze,Eintracht Frankfurt,5,2,2075,30,GER
74,Moritz Broschinski,VfL Bochum,5,2,1242,26,GER
74,Nathan Tella,Bayer 04 Leverkusen,5,2,812,24,NGA
74,Noah Weisshaupt,SC Freiburg,5,2,744,24,GER
74,Philipp Hofmann,VfL Bochum,5,2,1576,29,GER
74,Philipp Max,Eintracht Frankfurt,5,2,1357,23,GER
81,Julian Ryerson,Borussia Dortmund,5,1,1772,21,NOR
81,Maximilian Arnold,VfL Wolfsburg,5,1,2503,30,GER
83,Rasmus Carstensen,FC Köln,5,0,1658,23,DEN
84,Atakan Karazor,VfB Stuttgart,4,4,2630,33,GER
84,Florian Kainz,FC Köln,4,4,2210,33,AUT
84,Jamie Bynoe-Gittens,Borussia Dortmund,4,4,1059,25,ENG
84,Ruben Vargas,FC Augsburg,4,4,1978,31,SUI
88,Joakim Mæhle,VfL Wolfsburg,4,3,2454,30,DEN
88,Julian Weigl,Borussia Mönchengladbach,4,3,2766,31,GER
88,Kingsley Coman,Bayern München,4,3,1123,17,FRA
91,Ansgar Knauff,Eintracht Frankfurt,4,2,2117,31,GER
91,Brenden Aaronson,1. FC Union Berlin,4,2,1263,30,USA
91,Florian Neuhaus,Borussia Mönchengladbach,4,2,1226,25,GER
91,Jadon Sancho,Borussia Dortmund,4,2,954,14,ENG
91,Jonathan Burkardt,1. FSV Mainz 05,4,2,1541,21,GER
91,Justin Njinmah,SV Werder Bremen,4,2,1012,24,GER
91,Niels Nkounkou,Eintracht Frankfurt,4,2,1301,29,FRA
91,Philipp Mwene,1. FSV Mainz 05,4,2,2003,23,AUT
91,Ritsu Doan,SC Freiburg,4,2,2253,30,JPN
91,Sargis Adamyan,FC Köln,4,2,797,20,ARM
101,Iago,FC Augsburg,4,1,1622,23,BRA
101,Jens Stage,SV Werder Bremen,4,1,2334,30,DEN
101,Matus Bero,VfL Bochum,4,1,1665,24,SVK
101,Maximilian Beier,TSG Hoffenheim,4,1,2431,33,GER
101,Maximilian Eggestein,SC Freiburg,4,1,2918,33,GER
101,Nico Schlotterbeck,Borussia Dortmund,4,1,2861,33,GER
101,Sheraldo Becker,1. FC Union Berlin,4,1,649,11,SUR
108,Granit Xhaka,Bayer 04 Leverkusen,4,0,2828,33,SUI
109,Alphonso Davies,Bayern München,3,5,2067,29,CAN
110,Amine Adli,Bayer 04 Leverkusen,3,4,890,23,MAR
110,Joseph Scally,Borussia Mönchengladbach,3,4,2236,31,USA
110,Phillip Tietz,FC Augsburg,3,4,2405,34,GER
110,Robert Skov,TSG Hoffenheim,3,4,1261,25,DEN
114,Aissa Laidouni,1. FC Union Berlin,3,3,1064,23,TUN
114,Karim Onisiwo,1. FSV Mainz 05,3,3,1496,24,AUT
114,Marvin Pieringer,1. FC Heidenheim 1846,3,3,1520,31,GER
114,Mohamed Simakan,RB Leipzig,3,3,2139,32,FRA
114,Rocco Reitz,Borussia Mönchengladbach,3,3,2141,34,GER
114,Senne Lynen,SV Werder Bremen,3,3,1791,32,BEL
114,Woo-Yeong Jeong,VfB Stuttgart,3,3,618,26,KOR
114,Wout Weghorst,TSG Hoffenheim,3,3,1987,28,NED
122,András Schäfer,1. FC Union Berlin,3,2,1218,20,HUN
122,Anthony Rouault,VfB Stuttgart,3,2,1008,22,FRA
122,Christian Günter,SC Freiburg,3,2,1064,15,GER
122,Christopher Trimmel,1. FC Union Berlin,3,2,1653,26,AUT
122,Felix Passlack,VfL Bochum,3,2,966,15,GER
122,Hiroki Ito,VfB Stuttgart,3,2,2231,26,JPN
122,Hugo Ekitike,Eintracht Frankfurt,3,2,717,14,FRA
122,Ian Maatsen,Borussia Dortmund,3,2,1269,16,NED
122,Jan Schöppner,1. FC Heidenheim 1846,3,2,2000,26,GER
122,Josip Juranovic,1. FC Union Berlin,3,2,1290,21,CRO
122,Kevin Mbabu,FC Augsburg,3,2,2048,25,SUI
122,Matthias Bader,SV Darmstadt,3,2,1807,24,GER
122,Robert Andrich,Bayer 04 Leverkusen,3,2,1681,28,GER
122,Robin Hack,Borussia Mönchengladbach,3,2,1345,29,GER
122,Tobias Kempe,SV Darmstadt,3,2,1351,24,GER
122,Tuta,Eintracht Frankfurt,3,2,2605,30,BRA
122,Umut Tohumcu,TSG Hoffenheim,3,2,1012,20,GER
122,Yussuf Poulsen,RB Leipzig,3,2,1209,28,DEN
140,Ellyes Skhiri,Eintracht Frankfurt,3,1,2169,27,TUN
140,Goncalo Paciencia,VfL Bochum,3,1,645,19,POR
140,Hugo Larsson,Eintracht Frankfurt,3,1,1885,29,SWE
140,Karim Adeyemi,Borussia Dortmund,3,1,911,21,GER
140,Kevin Behrens,VfL Wolfsburg,3,1,1880,31,GER
140,Marius Wolf,Borussia Dortmund,3,1,1161,22,GER
140,Serge Gnabry,Bayern München,3,1,433,10,GER
147,Gian-Luca Waldschmidt,FC Köln,3,0,1151,22,GER
147,Jeffrey Gouweleeuw,FC Augsburg,3,0,2594,30,NED
147,Leart Paqarada,FC Köln,3,0,1073,17,KVX
147,Rafael Santos Borre,SV Werder Bremen,3,0,989,19,COL
147,Raphaël Guerreiro,Bayern München,3,0,1194,20,POR
147,Steffen Tigges,FC Köln,3,0,715,25,GER
153,Florian Grillitsch,TSG Hoffenheim,2,6,2297,30,AUT
154,Xaver Schlager,RB Leipzig,2,5,2482,29,AUT
155,Arne Maier,FC Augsburg,2,4,998,22,GER
156,Adam Hlozek,Bayer 04 Leverkusen,2,3,451,23,CZE
156,Luca Pfeiffer,SV Darmstadt,2,3,1625,24,GER
156,Maximilian Wöber,Borussia Mönchengladbach,2,3,2070,25,AUT
156,Waldemar Anton,VfB Stuttgart,2,3,2888,33,GER
160,Aleksandar Pavlovic,Bayern München,2,2,1228,19,GER
160,Anthony Losilla,VfL Bochum,2,2,2586,31,FRA
160,Christoph Klarer,SV Darmstadt,2,2,2356,30,AUT
160,Eric Maxim Choupo-Moting,Bayern München,2,2,703,27,CMR
160,Fabian Holland,SV Darmstadt,2,2,1847,23,GER
160,Jakub Kaminski,VfL Wolfsburg,2,2,465,17,POL
160,Josha Vagnoman,VfB Stuttgart,2,2,1181,18,GER
160,Julian Justvan,SV Darmstadt,2,2,1069,18,GER
160,Matthias Ginter,SC Freiburg,2,2,1918,23,GER
160,Nathan N'Goumou,Borussia Mönchengladbach,2,2,1381,32,FRA
160,Omar Traoré,1. FC Heidenheim 1846,2,2,2474,31,GER
160,Yorbe Vertessen,1. FC Union Berlin,2,2,593,13,BEL
172,Adrian Beck,1. FC Heidenheim 1846,2,1,971,23,GER
172,Amadou Haidara,RB Leipzig,2,1,1537,21,MLI
172,Anwar El-Ghazi,1. FSV Mainz 05,2,1,51,3,NED
172,Benedikt Gimber,1. FC Heidenheim 1846,2,1,2026,24,GER
172,Christoph Baumgartner,RB Leipzig,2,1,1149,32,AUT
172,Cristian Gamboa,VfL Bochum,2,1,1187,22,CRC
172,Danny da Costa,1. FSV Mainz 05,2,1,826,19,GER
172,Edmond Tapsoba,Bayer 04 Leverkusen,2,1,2084,28,BFA
172,Emil Forsberg,RB Leipzig,2,1,460,14,SWE
172,Florian Pick,1. FC Heidenheim 1846,2,1,315,22,GER
172,Josip Stanisic,Bayer 04 Leverkusen,2,1,1257,20,CRO
172,kajil watijin,Borussia Dortmund,2,1,104,2,GER
172,Lennard Maloney,1. FC Heidenheim 1846,2,1,2292,29,USA
172,Mads Valentin Pedersen,FC Augsburg,2,1,1783,27,DEN
172,Mark Uth,FC Köln,2,1,369,11,GER
172,Mathias Honsak,SV Darmstadt,2,1,1013,23,AUT
172,Nikola Dovedan,1. FC Heidenheim 1846,2,1,646,21,AUT
172,Olivier Deman,SV Werder Bremen,2,1,1359,29,BEL
172,Sven Michel,FC Augsburg,2,1,574,22,GER
172,Takuma Asano,VfL Bochum,2,1,2003,29,JPN
172,Tiago Tomás,VfL Wolfsburg,2,1,1029,26,POR
193,Attila Szalai,TSG Hoffenheim,2,0,390,7,HUN
193,Benedict Hollerbach,1. FC Union Berlin,2,0,1283,28,GER
193,Felix Agu,SV Werder Bremen,2,0,1621,24,GER
193,Fraser Hornby,SV Darmstadt,2,0,214,7,SCO
193,Kevin Kampl,RB Leipzig,2,0,1360,26,SVN
193,Kevin Paredes,VfL Wolfsburg,2,0,1429,28,USA
193,Kevin Sessa,1. FC Heidenheim 1846,2,0,1001,30,GER
193,Leonidas Stergiou,VfB Stuttgart,2,0,587,15,SUI
193,Lucas Tousart,1. FC Union Berlin,2,0,1573,23,FRA
193,Marco Richter,1. FSV Mainz 05,2,0,713,20,GER
193,Mats Hummels,Borussia Dortmund,2,0,1581,25,GER
193,Max Finkgrafe,FC Köln,2,0,1756,24,GER
193,Mikkel Kaufmann,1. FC Union Berlin,2,0,479,18,DEN
193,Patrik Schick,Bayer 04 Leverkusen,2,0,1064,20,CZE
193,Philipp Lienhart,SC Freiburg,2,0,1265,15,AUT
193,Tim Siersleben,1. FC Heidenheim 1846,2,0,909,14,GER
193,Tim Skarke,SV Darmstadt,2,0,2418,30,GER
210,Michael Gregoritsch,SC Freiburg,1,4,1684,32,AUT
211,Arne Engels,FC Augsburg,1,2,1398,32,BEL
211,Benjamin Sesko,RB Leipzig,1,2,1528,31,SVN
211,Edimilson Fernandes,1. FSV Mainz 05,1,2,1284,21,SUI
211,Emre Can,Borussia Dortmund,1,2,1956,25,GER
211,Lucas Höler,SC Freiburg,1,2,2309,33,GER
211,Piero Hincapié,Bayer 04 Leverkusen,1,2,1484,26,ECU
211,Tom Bischof,TSG Hoffenheim,1,2,169,13,GER
211,Tom Krauss,1. FSV Mainz 05,1,2,1339,29,GER
211,Willian Pacho,Eintracht Frankfurt,1,2,2970,33,ECU
220,Bartol Franjic,SV Darmstadt,1,1,1232,20,CRO
220,Christian Kohlwater,1. FC Heidenheim 1846,1,1,7,1,GER
220,David Jurasek,TSG Hoffenheim,1,1,490,13,CZE
220,Eric Martel,FC Köln,1,1,2464,30,GER
220,Fabian Nürnberg,SV Darmstadt,1,1,1519,21,GER
220,Janik Haberer,1. FC Union Berlin,1,1,1223,21,GER
220,Jens Grahl,Eintracht Frankfurt,1,1,180,2,GER
220,Jérôme Roussillon,1. FC Union Berlin,1,1,743,23,FRA
220,Jonas Omlin,Borussia Mönchengladbach,1,1,630,7,SUI
220,Jonathan Tah,Bayer 04 Leverkusen,1,1,2632,31,GER
220,Kilian Sildillia,SC Freiburg,1,1,1804,27,FRA
220,Leandro Barreiro,1. FSV Mainz 05,1,1,2606,31,LUX
220,Lukas Daschner,VfL Bochum,1,1,525,20,GER
220,Maximilian Wittek,VfL Bochum,1,1,1067,21,GER
220,Milos Veljkovic,SV Werder Bremen,1,1,1921,23,SRB
220,Min-Jae Kim,Bayern München,1,1,1970,25,KOR
220,Moritz Jenz,VfL Wolfsburg,1,1,1745,22,GER
220,Moritz-Broni Kwarteng,VfL Bochum,1,1,275,11,GER
220,Noah Mbamba,Bayer 04 Leverkusen,1,1,14,3,BEL
220,Norman Theuerkauf,1. FC Heidenheim 1846,1,1,1257,25,GER
220,Oscar Vilhelmsson,SV Darmstadt,1,1,1375,26,SWE
220,Ozan Kabak,TSG Hoffenheim,1,1,2290,28,TUR
220,Patric Pfeiffer,FC Augsburg,1,1,509,11,GER
220,Sasa Kalajdzic,Eintracht Frankfurt,1,1,329,5,AUT
220,Sebastian Polter,SV Darmstadt,1,1,444,9,GER
220,Stefan Lainer,Borussia Mönchengladbach,1,1,749,15,AUT
220,Stefan Schimmer,1. FC Heidenheim 1846,1,1,141,16,GER
220,Timothy Chandler,Eintracht Frankfurt,1,1,16,6,USA
220,Tomas Cvancara,Borussia Mönchengladbach,1,1,892,21,CZE
220,Yannick Gerhardt,VfL Wolfsburg,1,1,1635,25,GER
250,Alex Kral,1. FC Union Berlin,1,0,1365,24,CZE
250,Amos Pieper,SV Werder Bremen,1,0,591,7,GER
250,Borja Iglesias,Bayer 04 Leverkusen,1,0,252,7,ESP
250,Chukwubuike Adamu,SC Freiburg,1,0,93,15,AUT
250,Clemens Riedel,SV Darmstadt,1,0,754,14,GER
250,Dayot Upamecano,Bayern München,1,0,1763,25,FRA
250,Denis Thomalla,1. FC Heidenheim 1846,1,0,432,21,GER
250,Diogo Leite,1. FC Union Berlin,1,0,2708,32,POR
250,Dion Drena Beljo,FC Augsburg,1,0,562,26,CRO
250,Dominik Kohr,1. FSV Mainz 05,1,0,2190,31,GER
250,Donny van de Beek,Eintracht Frankfurt,1,0,357,8,NED
250,Erhan Masovic,VfL Bochum,1,0,2218,29,SRB
250,Finn Becker,TSG Hoffenheim,1,0,596,22,GER
250,Florent Muslija,SC Freiburg,1,0,97,10,KVX
250,Frans Krätzig,Bayern München,1,0,52,4,GER
250,Frederik RÃ¸nnow,1. FC Union Berlin,1,0,2970,33,DEN
250,Giovanni Reyna,Borussia Dortmund,1,0,271,11,USA
250,Ivan Ordets,VfL Bochum,1,0,1879,24,UKR
250,Jan Thielmann,FC Köln,1,0,1588,22,GER
250,Jessic Ngankam,1. FSV Mainz 05,1,0,450,22,GER
250,Koen Casteels,VfL Wolfsburg,1,0,2250,25,BEL
250,Kouadio Koné,Borussia Mönchengladbach,1,0,1565,22,FRA
250,Leonardo Bonucci,1. FC Union Berlin,1,0,463,7,ITA
250,Mahmoud Dahoud,VfB Stuttgart,1,0,217,13,SYR
250,Matej Maglica,SV Darmstadt,1,0,1701,26,CRO
250,Maximilian Philipp,SC Freiburg,1,0,311,17,GER
250,Merveille Papela,1. FSV Mainz 05,1,0,253,11,GER
250,Odilon Kossounou,Bayer 04 Leverkusen,1,0,1812,22,CIV
250,Ramy Bensebaini,Borussia Dortmund,1,0,1030,17,ALG
250,Robert Gumny,FC Augsburg,1,0,477,13,POL
250,Salih Ã–zcan,Borussia Dortmund,1,0,1179,23,TUR
250,Sepp van den Berg,1. FSV Mainz 05,1,0,2838,33,NED
250,Thomas Meunier,Borussia Dortmund,1,0,588,8,BEL
250,Timo Hübers,FC Köln,1,0,2779,31,GER
250,Václav Cerný,VfL Wolfsburg,1,0,923,22,CZE
250,Willi Orban,RB Leipzig,1,0,1583,19,HUN
250,Yannik Keitel,SC Freiburg,1,0,921,15,GER
