Player,Team,Actual Goals,FotMob Rating,Expected Goals (xG),Shot Accuracy (%),Matches,Actual Assists,Saves per 90(GK),Total Saves(GK),Clean Sheets(GK),Goals Conceded per 90(GK),Goals Conceded,Chances Created,Chances Created per 90,Big Chances Created,Big Chances Missed,Blocks per 90,Total Blocks,Interceptions per 90,Total Interceptions,Clearances per 90,Total Clearances
Fabian Nürnberg,SV Darmstadt,1,6.96,2.4,31.6,21,1,0,0,0,0,0,30,1.8,1,0.2,0.1,1,1,17,1.3,22
Mattias Svanberg,VfL Wolfsburg,1,6.96,3,26.2,25,3,0,0,0,0,0,26,1.4,5,2,0.3,5,1.1,21,1.3,25
Max Finkgrafe,FC Köln,1,6.96,1,33.3,24,0,0,0,0,0,0,23,1.2,2,2,0.5,10,1.1,22,1.6,32
Julian Chabot,FC Köln,0,6.96,1.4,21.1,32,0,0,0,0,0,0,9,0.3,0.5,1,1.4,43,1.5,45,4.5,136
Jan Schöppner,1. FC Heidenheim 1846,2,6.96,1.1,23.5,26,2,0,0,0,0,0,13,0.6,3,0.2,0.3,7,1.2,26,2.5,55
Lukas Hradecky,Bayer 04 Leverkusen,0,6.95,2.4,0.5,33,0,2.4,78,15,0.7,24,7,1.3,0.5,0.2,0.1,0,0.84,0,0.5,18
Florian Kainz,FC Köln,5,6.94,5,32.1,33,4,0,0,0,0,0,53,2.2,4,0.2,0.2,6,0.5,13,0.8,20
Eric Ebimbe,Eintracht Frankfurt,5,6.94,5,32.7,31,3,0,0,0,0,0,20,0.9,5,5,0.3,7,0.4,9,1.6,35
Bernardo,VfL Bochum,1,6.94,2.6,27.6,33,0,0,0,0,0,0,13,0.4,0.5,2,0.9,30,1.7,55,3.2,105
Kristijan Jakic,FC Augsburg,2,6.94,0.8,35.7,18,1,0,0,0,0,0,8,0.6,0.5,0.2,0.1,1,1.6,22,1.1,16
Kouadio Koné,Borussia Mönchengladbach,1,6.94,2.4,33.3,22,0,0,0,0,0,0,24,1.4,1,0.2,0.1,1,0.9,15,0.9,15
