Player,Team,Actual Goals,FotMob Rating,Expected Goals (xG),Shot Accuracy (%),Matches,Actual Assists,Saves per 90(GK),Total Saves(GK),Clean Sheets(GK),Goals Conceded per 90(GK),Goals Conceded,Chances Created,Chances Created per 90,Big Chances Created,Big Chances Missed,Blocks per 90,Total Blocks,Interceptions per 90,Total Interceptions,Clearances per 90,Total Clearances
Tomas Cvancara,Borussia Mönchengladbach,4,6.46,5.9,36.1,21,1,0,0,0,0,0,7,0.7,1,8,0.1,1,0.2,2,0.8,8
Bartol Franjic,SV Darmstadt,0,6.44,0.3,0.5,20,1,0,0,0,0,0,2,0.1,1,0.2,0.3,4,2.2,30,2,28
Steffen Tigges,FC Köln,3,6.42,2.6,40.9,25,0,0,0,0,0,0,10,1.3,3,2,0.3,2,0.1,1,1.4,11
Cedric Zesiger,VfL Wolfsburg,0,6.42,1.3,12.5,23,0,0,0,0,0,0,1,0.1,0.5,1,1.2,21,0.8,15,4.7,86
Sebastiaan Bornauw,VfL Wolfsburg,0,6.42,0.8,40,20,0,0,0,0,0,0,3,0.2,0.5,1,0.8,12,1.1,18,4.8,77
Leart Paqarada,FC Köln,0,6.41,0.4,40,17,0,0,0,0,0,0,22,1.8,3,0.2,0.4,5,0.8,10,2.2,26
Tiago Tomás,VfL Wolfsburg,1,6.39,2.7,37,26,1,0,0,0,0,0,10,0.9,2,3,0.1,0,0.3,3,0.7,8
Faride Alidou,FC Köln,4,6.39,3,33.3,26,0,0,0,0,0,0,14,1,0.5,7,0.1,2,0.6,8,0.9,13
Ludovic Ajorque,1. FSV Mainz 05,2,6.38,5.3,37.9,26,0,0,0,0,0,0,16,1.1,0.5,9,0.1,2,0.3,4,0.7,10
Matej Maglica,SV Darmstadt,1,6.38,0.6,20,26,0,0,0,0,0,0,9,0.5,1,0.2,0.6,11,1.2,22,4.7,88
Klaus Gjasula,SV Darmstadt,0,6.38,0.5,11.1,22,0,0,0,0,0,0,6,0.4,0.5,1,0.9,14,1.3,19,2.5,38
Rasmus Carstensen,FC Köln,0,6.37,0.9,40,23,0,0,0,0,0,0,16,0.9,5,1,0.5,9,1.1,20,2.6,48
Nikola Dovedan,1. FC Heidenheim 1846,3,6.37,1.9,35.7,21,1,0,0,0,0,0,8,1.1,2,0.2,0.1,0,0.1,1,0.4,3
Mathias Honsak,SV Darmstadt,1,6.35,1.8,26.1,23,1,0,0,0,0,0,12,1.1,2,3,0.2,2,0.7,8,2,22
Benedict Hollerbach,1. FC Union Berlin,5,6.34,3.4,29.4,28,0,0,0,0,0,0,14,1,2,4,0.1,0,0.3,4,0.1,2
Sven Michel,FC Augsburg,2,6.33,3.2,50,22,1,0,0,0,0,0,10,1.6,2,2,0.1,0,0.84,0,0.6,4
Dion Drena Beljo,FC Augsburg,2,6.33,3,47.4,26,0,0,0,0,0,0,8,1.3,1,3,0.2,1,0.2,1,0.6,4
Marcel Schuhen,SV Darmstadt,0,6.25,2.4,0.5,31,0,4,124,3,2.5,76,7,1.3,0.5,0.2,0.1,0,0.1,2,0.8,24
Oscar Vilhelmsson,SV Darmstadt,4,6.24,4.1,39.3,26,1,0,0,0,0,0,11,0.7,1,1,0.3,5,0.2,3,1.2,19
Moritz Broschinski,VfL Bochum,2,6.16,2.4,30.8,26,2,0,0,0,0,0,15,1.1,5,4,0.1,2,0.84,0,0.3,4
Jonas Hofmann,Bayer 04 Leverkusen,5,6,5.9,41.7,32,7,0,0,0,0,0,79,3.2,17,7,0.1,0,0.3,8,0.2,4
Nadiem Amiri,1. FSV Mainz 05,1,5.5,2.3,25.6,23,4,0,0,0,0,0,53,3.4,10,2,0.1,2,0.9,14,1.2,19
Julian Justvan,SV Darmstadt,2,5.5,0.9,22.2,18,2,0,0,0,0,0,23,1.9,2,0.2,0.2,2,0.9,11,0.5,6
Jadon Sancho,Borussia Dortmund,2,5.5,0.9,0.5,14,2,0,0,0,0,0,25,2.4,4,3,0.1,0,0.84,0,1.7,0
Nathan Tella,Bayer 04 Leverkusen,5,5.5,3.5,52.4,24,2,0,0,0,0,0,14,1.6,5,2,0.1,0,0.3,3,0.7,6
Arne Maier,FC Augsburg,2,5.5,1.5,22.7,22,4,0,0,0,0,0,28,2.5,2,0.2,0.2,2,0.5,6,1,11
Pascal Stenzel,VfB Stuttgart,0,5.5,0.3,28.6,23,5,0,0,0,0,0,15,1.3,7,0.2,0.7,8,1.3,15,1.9,23
Serge Gnabry,Bayern München,3,5.5,2.5,0.5,10,1,0,0,0,0,0,9,1.9,3,4,0.1,0,0.84,0,1.7,0
Christian Günter,SC Freiburg,1,5.5,0.5,0.5,15,2,0,0,0,0,0,18,1.5,3,1,0.1,0,0.84,0,1.7,0
Rafael Santos Borre,SV Werder Bremen,4,5.5,2.4,40,19,0,0,0,0,0,0,13,1.2,3,0.2,0.2,2,0.2,2,0.9,10
Ian Maatsen,Borussia Dortmund,2,5.5,0.9,0.5,16,2,0,0,0,0,0,8,0.6,3,0.2,0.1,0,0.84,0,1.7,0
Jakub Kaminski,VfL Wolfsburg,0,5.5,0.5,30,17,2,0,0,0,0,0,6,1.2,2,1,0.1,0,0.4,2,1,5
Josip Stanisic,Bayer 04 Leverkusen,3,5.5,0.8,50,20,1,0,0,0,0,0,11,0.8,2,1,0.2,3,0.6,9,1.6,22
Sheraldo Becker,1. FC Union Berlin,0,5.5,0.8,0.5,11,1,0,0,0,0,0,12,1.7,4,2,0.1,0,0.84,0,1.7,0
Hugo Ekitike,Eintracht Frankfurt,4,5.5,2.4,0.5,14,2,0,0,0,0,0,12,1.5,3,2,0.1,0,0.84,0,1.7,0
Eric Maxim Choupo-Moting,Bayern München,2,5.5,4.5,46.2,27,2,0,0,0,0,0,16,2,2,7,0.1,0,0.9,7,0.8,6
Danny da Costa,1. FSV Mainz 05,0,5.5,0.3,16.7,19,1,0,0,0,0,0,9,1,2,0.2,0.4,4,1.7,16,2.5,23
Adam Hlozek,Bayer 04 Leverkusen,2,5.5,3.1,33.3,23,3,0,0,0,0,0,9,1.8,2,1,0.2,1,0.4,2,0.2,1
Anthony Rouault,VfB Stuttgart,0,5.5,0.1,33.3,22,2,0,0,0,0,0,8,0.7,3,0.2,0.7,8,0.7,8,2.1,24
Felix Passlack,VfL Bochum,2,5.5,0.9,0.5,15,2,0,0,0,0,0,14,1.3,3,0.2,0.1,0,0.84,0,1.7,0
Lukas Daschner,VfL Bochum,1,5.5,2.3,46.2,20,1,0,0,0,0,0,10,1.7,1,4,0.1,0,0.3,2,0.2,1
Sargis Adamyan,FC Köln,1,5.5,4.1,45.2,20,2,0,0,0,0,0,12,1.4,4,8,0.1,1,0.6,5,0.7,6
Florian Pick,1. FC Heidenheim 1846,0,5.5,0.3,12.5,22,1,0,0,0,0,0,9,2.6,2,0.2,0.1,0,0.6,2,0.3,1
Stefan Lainer,Borussia Mönchengladbach,0,5.5,0.2,0.5,15,1,0,0,0,0,0,8,1,1,1,0.1,0,0.84,0,1.7,0
Giovanni Reyna,Borussia Dortmund,0,5.5,0.9,0.5,11,0,0,0,0,0,0,7,2.3,1,1,0.1,0,0.84,0,1.7,0
Attila Szalai,SC Freiburg,0,5.5,0.1,0.5,7,0,0,0,0,0,0,3,0.7,2,0.2,0.1,0,0.84,0,1.7,0
Sebastien Haller,Borussia Dortmund,0,5.5,0.9,0.5,14,1,0,0,0,0,0,5,1.2,0.5,0.2,0.1,0,0.84,0,1.7,0
Leonidas Stergiou,VfB Stuttgart,1,5.5,0.4,0.5,15,0,0,0,0,0,0,5,0.8,2,0.2,0.1,0,0.84,0,1.7,0
Mahmoud Dahoud,VfB Stuttgart,1,5.5,0.6,0.5,13,0,0,0,0,0,0,7,2.9,1,0.2,0.1,0,0.84,0,1.7,0
Ramy Bensebaini,Borussia Dortmund,0,5.5,1.9,0.5,17,0,0,0,0,0,0,6,0.5,1,3,0.6,7,1.4,16,2.5,29
Rogério,VfL Wolfsburg,1,5.5,0.3,0.5,13,0,0,0,0,0,0,6,0.6,0.5,1,0.1,0,0.84,0,1.7,0
Thomas Meunier,Borussia Dortmund,0,5.5,0.5,0.5,8,0,0,0,0,0,0,4,0.6,1,0.2,0.1,0,0.84,0,1.7,0
Tom Bischof,TSG Hoffenheim,0,5.5,0.4,0.5,13,2,0,0,0,0,0,5,2.7,1,0.2,0.1,0,0.84,0,1.7,0
David Jurasek,TSG Hoffenheim,0,5.5,0.2,0.5,13,1,0,0,0,0,0,6,1.1,1,0.2,0.1,0,0.84,0,1.7,0
Stefan Schimmer,1. FC Heidenheim 1846,0,5.5,0.6,0.5,16,1,0,0,0,0,0,1,0.6,1,1,0.1,0,0.84,0,1.7,0
Denis Thomalla,1. FC Heidenheim 1846,0,5.5,0.4,0.5,21,0,0,0,0,0,0,4,0.8,1,0.2,0.4,2,0.8,4,2.3,11
Philipp Förster,VfL Bochum,0,5.5,2.4,0.5,13,0,0,0,0,0,0,9,2.1,0.5,0.2,0.1,0,0.84,0,1.7,0
Yorbe Vertessen,1. FC Union Berlin,3,5.5,2.7,0.5,13,2,0,0,0,0,0,7,1.1,2,6,0.1,0,0.84,0,1.7,0
Mark Uth,FC Köln,0,5.5,2,0.5,11,1,0,0,0,0,0,10,2.4,2,4,0.1,0,0.84,0,1.7,0
Dominique Heintz,FC Köln,0,5.5,0.1,0.5,12,0,0,0,0,0,0,7,1.1,0.5,0.2,0.1,0,0.84,0,1.7,0
Finn Becker,TSG Hoffenheim,0,5.5,0.3,16.7,22,0,0,0,0,0,0,6,0.9,1,0.2,0.2,1,0.2,1,1.5,10
Jessic Ngankam,1. FSV Mainz 05,0,5.5,2.1,33.3,22,0,0,0,0,0,0,5,1,1,3,0.2,1,0.6,3,0.2,1
Youssoufa Moukoko,Borussia Dortmund,5,5.5,3.9,50,20,0,0,0,0,0,0,7,1,0.5,1,0.1,1,0.3,2,0.6,4
Goncalo Paciencia,VfL Bochum,3,5.5,3,34.2,19,1,0,0,0,0,0,9,1.3,3,3,0.1,0,0.84,0,1,7
Jérôme Roussillon,1. FC Union Berlin,0,5.5,0.3,57.1,23,1,0,0,0,0,0,8,1,1,1,0.5,4,0.6,5,2.9,24
Patric Pfeiffer,FC Augsburg,0,5.5,0.5,0.5,11,1,0,0,0,0,0,4,0.7,1,0.2,0.1,0,0.84,0,1.7,0
Aaron Seydel,SV Darmstadt,1,5.5,1.2,0.5,16,0,0,0,0,0,0,9,1.3,0.5,1,0.1,0,0.84,0,1.7,0
Aymen Barkok,1. FSV Mainz 05,1,5.5,1.9,0.5,13,0,0,0,0,0,0,5,1.4,0.5,3,0.1,0,0.84,0,1.7,0
Dawid Kownacki,SV Werder Bremen,0,5.5,1.3,21.1,22,0,0,0,0,0,0,5,1.2,0.5,2,0.2,1,0.84,0,0.2,1
Donny van de Beek,Eintracht Frankfurt,0,5.5,0.1,0.5,8,0,0,0,0,0,0,3,0.8,1,0.2,0.1,0,0.84,0,1.7,0
Florent Muslija,SC Freiburg,0,5.5,0.1,0.5,10,0,0,0,0,0,0,6,5.6,1,0.2,0.1,0,0.84,0,1.7,0
Philipp Lienhart,SC Freiburg,1,5.5,1.4,0.5,15,0,0,0,0,0,0,3,0.2,2,2,0.1,0,0.84,0,1.7,0
Noah Mbamba,Bayer 04 Leverkusen,0,5.5,2.4,0.5,3,1,0,0,0,0,0,1,6.4,1,0.2,0.1,0,0.84,0,1.7,0
Sebastian Polter,SV Darmstadt,0,5.5,1,0.5,9,1,0,0,0,0,0,3,0.6,1,1,0.1,0,0.84,0,1.7,0
Amos Pieper,SV Werder Bremen,0,5.5,0.6,0.5,7,0,0,0,0,0,0,2,0.3,1,0.2,0.1,0,0.84,0,1.7,0
Fraser Hornby,SV Darmstadt,0,5.5,0.7,0.5,7,0,0,0,0,0,0,5,2.1,2,1,0.1,0,0.84,0,1.7,0
Marnon-Thomas Busch,1. FC Heidenheim 1846,0,5.5,0.1,0.5,16,0,0,0,0,0,0,5,0.8,0.5,0.2,0.1,0,0.84,0,1.7,0
Sebastian Rode,Eintracht Frankfurt,0,5.5,2.4,0.5,8,0,0,0,0,0,0,1,1.6,0.5,0.2,0.1,0,0.84,0,1.7,0
Arthur,Bayer 04 Leverkusen,0,5.5,0.1,0.5,4,2,0,0,0,0,0,5,2.4,0.5,0.2,0.1,0,0.84,0,1.7,0
Nicolas Seiwald,RB Leipzig,0,5.5,2.4,0.5,21,2,0,0,0,0,0,5,0.6,0.5,0.2,0.3,2,1,8,1.8,14
Christian Kohlwater,1. FC Heidenheim 1846,0,5.5,2.4,0.5,1,1,0,0,0,0,0,1,12.9,1,0.2,0.1,0,0.84,0,1.7,0
Emil Forsberg,RB Leipzig,2,5.5,1.5,0.5,14,1,0,0,0,0,0,6,1.2,2,2,0.1,0,0.84,0,1.7,0
Borja Iglesias,Bayer 04 Leverkusen,0,5.5,1.4,0.5,7,0,0,0,0,0,0,3,1.1,1,3,0.1,0,0.84,0,1.7,0
Bryan Zaragoza,Bayern München,0,5.5,0.5,0.5,7,0,0,0,0,0,0,4,2,0.5,1,0.1,0,0.84,0,1.7,0
Christoph Kramer,Borussia Mönchengladbach,0,5.5,0.1,0.5,14,0,0,0,0,0,0,2,0.8,0.5,0.2,0.1,0,0.84,0,1.7,0
Eljif Elmas,RB Leipzig,0,5.5,0.8,0.5,14,0,0,0,0,0,0,2,0.7,0.5,1,0.1,0,0.84,0,1.7,0
Eric Dier,Bayern München,0,5.5,0.7,0.5,15,0,0,0,0,0,0,2,0.2,0.5,2,0.1,0,0.84,0,1.7,0
Jens Petter Hauge,Eintracht Frankfurt,0,5.5,0.1,0.5,10,0,0,0,0,0,0,2,1.3,0.5,0.2,0.1,0,0.84,0,1.7,0
Kevin Akpoguma,TSG Hoffenheim,0,5.5,0.3,0.5,17,0,0,0,0,0,0,5,0.4,0.5,1,0.7,8,1.5,18,2.4,29
Maximilian Philipp,SC Freiburg,1,5.5,0.5,33.3,17,0,0,0,0,0,0,3,0.9,1,0.2,0.1,0,0.3,1,0.9,3
Mikkel Kaufmann,1. FC Union Berlin,1,5.5,1.3,40,18,0,0,0,0,0,0,4,0.8,2,1,0.1,0,0.2,1,0.8,4
Tim Oermann,VfL Bochum,0,5.5,0.1,0.5,16,0,0,0,0,0,0,4,0.5,0.5,0.2,0.1,0,0.84,0,1.7,0
Tim Siersleben,1. FC Heidenheim 1846,0,5.5,0.2,0.5,14,0,0,0,0,0,0,3,0.3,2,0.2,0.1,0,0.84,0,1.7,0
Christian Gross,SV Werder Bremen,0,5.5,0.3,25,20,1,0,0,0,0,0,8,0.9,0.5,0.2,0.7,6,1.5,13,3.1,27
Christoph Zimmermann,SV Darmstadt,0,5.5,0.4,25,19,0,0,0,0,0,0,3,0.2,0.5,0.2,1,14,1.6,21,4.9,66
Clemens Riedel,SV Darmstadt,0,5.5,0.3,0.5,14,0,0,0,0,0,0,6,0.7,1,0.2,0.1,0,0.84,0,1.7,0
David Datro Fofana,1. FC Union Berlin,1,5.5,2.8,0.5,12,0,0,0,0,0,0,5,0.7,0.5,7,0.1,0,0.84,0,1.7,0
Gerrit Holtmann,SV Darmstadt,0,5.5,0.6,0.5,10,0,0,0,0,0,0,5,1.2,0.5,1,0.1,0,0.84,0,1.7,0
Kilian Fischer,VfL Wolfsburg,0,5.5,0.4,0.5,6,0,0,0,0,0,0,2,0.6,0.5,0.2,0.1,0,0.84,0,1.7,0
Lovro Zvonarek,Bayern München,1,5.5,0.1,0.5,5,0,0,0,0,0,0,2,1.1,0.5,1,0.1,0,0.84,0,1.7,0
Patrick Wimmer,VfL Wolfsburg,2,5.5,1.4,0.5,14,0,0,0,0,0,0,4,0.6,0.5,3,0.1,0,0.84,0,1.7,0
Pep Biel,FC Augsburg,0,5.5,1,0.5,11,0,0,0,0,0,0,4,1.3,0.5,2,0.1,0,0.84,0,1.7,0
Stanley N'Soki,TSG Hoffenheim,0,5.5,2.4,0.5,11,0,0,0,0,0,0,2,0.3,0.5,0.2,0.1,0,0.84,0,1.7,0
Stefan Bell,1. FSV Mainz 05,0,5.5,0.2,0.5,10,0,0,0,0,0,0,1,0.1,0.5,0.2,0.1,0,0.84,0,1.7,0
Tim Breithaupt,FC Augsburg,0,5.5,0.1,0.5,16,0,0,0,0,0,0,3,0.4,0.5,0.2,0.1,0,0.84,0,1.7,0
Josuha Guilavogui,1. FSV Mainz 05,0,5.5,2.4,0.5,11,1,0,0,0,0,0,1,0.2,0.5,0.2,0.1,0,0.84,0,1.7,0
kajil watijin,Borussia Dortmund,0,5.5,2.4,0.5,2,1,0,0,0,0,0,3,2.6,2,0.2,0.1,0,0.84,0,1.7,0
Amin Sarr,VfL Wolfsburg,0,5.5,0.6,0.5,14,0,0,0,0,0,0,2,0.5,0.5,0.2,0.1,0,0.84,0,1.7,0
Chris Bedia,1. FC Union Berlin,1,5.5,0.2,0.5,7,0,0,0,0,0,0,3,1.9,0.5,0.2,0.1,0,0.84,0,1.7,0
Fabio Carvalho,RB Leipzig,0,5.5,0.2,0.5,9,0,0,0,0,0,0,2,1.1,0.5,0.2,0.1,0,0.84,0,1.7,0
Fabio Chiarodia,Borussia Mönchengladbach,0,5.5,2.4,0.5,7,0,0,0,0,0,0,1,0.6,0.5,0.2,0.1,0,0.84,0,1.7,0
Jannik Müller,SV Darmstadt,0,5.5,0.2,0.5,16,0,0,0,0,0,0,2,0.2,0.5,0.2,0.1,0,0.84,0,1.7,0
Julian Malatini,SV Werder Bremen,1,5.5,1,0.5,11,0,0,0,0,0,0,4,0.6,0.5,0.2,0.1,0,0.84,0,1.7,0
Justin Diehl,FC Köln,0,5.5,0.2,0.5,7,0,0,0,0,0,0,5,2.7,0.5,0.2,0.1,0,0.84,0,1.7,0
Makoto Hasebe,Eintracht Frankfurt,0,5.5,2.4,0.5,8,0,0,0,0,0,0,7,1.3,0.5,0.2,0.1,0,0.84,0,1.7,0
Marvin Schwabe,FC Köln,0,5.5,2.4,0.5,34,0,0,0,0,0,0,2,0.1,0.5,0.2,0.1,0,0.84,0,1.7,0
Mathias Olesen,FC Köln,0,5.5,2.4,0.5,6,0,0,0,0,0,0,1,0.8,0.5,0.2,0.1,0,0.84,0,1.7,0
Mergim Berisha,TSG Hoffenheim,0,5.5,0.7,0.5,8,0,0,0,0,0,0,4,1.4,0.5,1,0.1,0,0.84,0,1.7,0
Merveille Papela,1. FSV Mainz 05,0,5.5,0.3,0.5,11,0,0,0,0,0,0,3,1.1,1,1,0.1,0,0.84,0,1.7,0
Nicolas Cozza,VfL Wolfsburg,0,5.5,2.4,0.5,6,0,0,0,0,0,0,2,0.6,0.5,0.2,0.1,0,0.84,0,1.7,0
Niklas Stark,SV Werder Bremen,2,5.5,0.2,50,17,0,0,0,0,0,0,7,1.3,0.5,0.2,0.6,7,1.6,19,4.9,59
Robert Gumny,FC Augsburg,0,5.5,0.2,0.5,13,0,0,0,0,0,0,2,0.4,1,0.2,0.1,0,0.84,0,1.7,0
Yannik Keitel,SC Freiburg,1,5.5,0.7,0.5,15,0,0,0,0,0,0,2,0.2,1,1,0.1,0,0.84,0,1.7,0
Moritz-Broni Kwarteng,VfL Bochum,0,5.5,1,0.5,11,1,0,0,0,0,0,4,1.3,1,3,0.1,0,0.84,0,1.7,0
Paxten Aaronson,Eintracht Frankfurt,0,5.5,0.1,0.5,7,1,0,0,0,0,0,1,0.9,0.5,0.2,0.1,0,0.84,0,1.7,0
Sasa Kalajdzic,Eintracht Frankfurt,0,5.5,0.2,0.5,5,1,0,0,0,0,0,3,0.8,1,0.2,0.1,0,0.84,0,1.7,0
Timothy Chandler,Eintracht Frankfurt,0,5.5,0.1,0.5,6,1,0,0,0,0,0,2,11.3,1,0.2,0.1,0,0.84,0,1.7,0
Andreas Hanche-Olsen,1. FSV Mainz 05,1,5.5,0.7,0.5,15,0,0,0,0,0,0,1,0.1,0.5,1,0.1,0,0.84,0,1.7,0
Andreas Müller,SV Darmstadt,0,5.5,0.1,0.5,11,0,0,0,0,0,0,1,0.3,0.5,0.2,0.1,0,0.84,0,1.7,0
Borna Sosa,VfB Stuttgart,0,5.5,2.4,0.5,2,0,0,0,0,0,0,3,6.1,0.5,0.2,0.1,0,0.84,0,1.7,0
Bouna Sarr,Bayern München,0,5.5,0.2,0.5,2,0,0,0,0,0,0,7,1.3,0.5,1,0.1,0,0.84,0,1.7,0
Christopher Lenz,RB Leipzig,0,5.5,2.4,0.5,6,0,0,0,0,0,0,1,1.7,0.5,0.2,0.1,0,0.84,0,1.7,0
Damion Downs,FC Köln,2,5.5,1,0.5,10,0,0,0,0,0,0,7,1.3,0.5,1,0.1,0,0.84,0,1.7,0
Danilo Soares,VfL Bochum,0,5.5,0.1,0.5,5,0,0,0,0,0,0,3,0.8,0.5,0.2,0.1,0,0.84,0,1.7,0
Dennis Geiger,TSG Hoffenheim,0,5.5,2.4,0.5,3,0,0,0,0,0,0,1,1.5,0.5,0.2,0.1,0,0.84,0,1.7,0
Fabian Schnellhardt,SV Darmstadt,0,5.5,0.2,0.5,10,0,0,0,0,0,0,2,0.8,0.5,0.2,0.1,0,0.84,0,1.7,0
Fabio Torsiello,SV Darmstadt,0,5.5,0.3,0.5,10,0,0,0,0,0,0,7,1.3,0.5,1,0.1,0,0.84,0,1.7,0
Frank Ronstadt,SV Darmstadt,0,5.5,0.1,0.5,4,0,0,0,0,0,0,2,2.5,0.5,0.2,0.1,0,0.84,0,1.7,0
Frans Krätzig,Bayern München,0,5.5,0.3,0.5,4,0,0,0,0,0,0,2,3.5,1,0.2,0.1,0,0.84,0,1.7,0
Grant-Leon Ranos,Borussia Mönchengladbach,0,5.5,0.3,0.5,9,0,0,0,0,0,0,7,1.3,0.5,0.2,0.1,0,0.84,0,1.7,0
Gustavo Puerta,Bayer 04 Leverkusen,0,5.5,0.1,0.5,7,0,0,0,0,0,0,1,2.3,0.5,0.2,0.1,0,0.84,0,1.7,0
Irvin Cardona,FC Augsburg,0,5.5,0.2,0.5,3,0,0,0,0,0,0,7,1.3,0.5,0.2,0.1,0,0.84,0,1.7,0
Isak Hansen-AarÃ¸en,SV Werder Bremen,0,5.5,2.4,0.5,3,0,0,0,0,0,0,1,3.6,0.5,0.2,0.1,0,0.84,0,1.7,0
Jacob Steen Christensen,FC Köln,0,5.5,2.4,0.5,7,0,0,0,0,0,0,2,0.8,0.5,0.2,0.1,0,0.84,0,1.7,0
Jean Bahoya,Eintracht Frankfurt,0,5.5,2.4,0.5,8,0,0,0,0,0,0,3,1.6,0.5,0.2,0.1,0,0.84,0,1.7,0
Kenneth Schmidt,SC Freiburg,0,5.5,2.4,0.5,5,0,0,0,0,0,0,2,2.8,0.5,0.2,0.1,0,0.84,0,1.7,0
Leonardo Bonucci,1. FC Union Berlin,1,5.5,0.8,0.5,7,0,0,0,0,0,0,2,0.4,1,0.2,0.1,0,0.84,0,1.7,0
Marcus Müller,1. FSV Mainz 05,0,5.5,0.1,0.5,1,0,0,0,0,0,0,7,1.3,0.5,0.2,0.1,0,0.84,0,1.7,0
Mateu Morey,Borussia Dortmund,0,5.5,2.4,0.5,3,0,0,0,0,0,0,1,0.8,0.5,0.2,0.1,0,0.84,0,1.7,0
Maxim Leitsch,1. FSV Mainz 05,0,5.5,2.4,0.5,7,0,0,0,0,0,0,7,1.3,0.5,0.2,0.1,0,0.84,0,1.7,0
Maximilian Bauer,FC Augsburg,1,5.5,1.4,0.5,14,0,0,0,0,0,0,7,1.3,0.5,1,0.1,0,0.84,0,1.7,0
Mert Kömür,FC Augsburg,1,5.5,0.2,0.5,4,0,0,0,0,0,0,1,0.8,0.5,0.2,0.1,0,0.84,0,1.7,0
Nelson Weiper,1. FSV Mainz 05,0,5.5,0.5,0.5,5,0,0,0,0,0,0,2,1.5,0.5,1,0.1,0,0.84,0,1.7,0
Nnamdi Collins,Eintracht Frankfurt,0,5.5,2.4,0.5,2,0,0,0,0,0,0,7,1.3,0.5,0.2,0.1,0,0.84,0,1.7,0
Patrick Herrmann,Borussia Mönchengladbach,0,5.5,0.2,0.5,8,0,0,0,0,0,0,3,3.5,0.5,0.2,0.1,0,0.84,0,1.7,0
Paul Jaeckel,1. FC Union Berlin,0,5.5,2.4,0.5,6,0,0,0,0,0,0,2,0.8,0.5,0.2,0.1,0,0.84,0,1.7,0
Ryan Gravenberch,Bayern München,0,5.5,2.4,0.5,1,0,0,0,0,0,0,2,20,0.5,0.2,0.1,0,0.84,0,1.7,0
Samuel Bamba,Borussia Dortmund,0,5.5,0.3,0.5,2,0,0,0,0,0,0,1,2,0.5,1,0.1,0,0.84,0,1.7,0
Thomas Isherwood,SV Darmstadt,0,5.5,2.4,0.5,12,0,0,0,0,0,0,1,0.1,0.5,0.2,0.1,0,0.84,0,1.7,0
Timo Werner,RB Leipzig,2,5.5,2.4,0.5,8,0,0,0,0,0,0,2,0.9,0.5,2,0.1,0,0.84,0,1.7,0
Anwar El-Ghazi,1. FSV Mainz 05,0,5.5,0.1,0.5,3,1,0,0,0,0,0,2,3.5,2,0.2,0.1,0,0.84,0,1.7,0
Jens Grahl,Eintracht Frankfurt,0,5.5,2.4,0.5,2,1,0,0,0,0,0,1,0.5,1,0.2,0.1,0,0.84,0,1.7,0
Jonas Omlin,Borussia Mönchengladbach,0,5.5,2.4,0.5,7,1,0,0,0,0,0,1,0.1,1,0.2,0.1,0,0.84,0,1.7,0
Alexander Brunst-ZÃ¶llner,SV Darmstadt,0,5.5,2.4,0.5,3,0,0,0,0,0,0,7,1.3,0.5,0.2,0.1,0,0.84,0,1.7,0
Alexander Meyer,Borussia Dortmund,0,5.5,2.4,0.5,8,0,0,0,3,0,9,7,1.3,0.5,0.2,0.1,0,0.84,0,1.7,0
Alexander Schwolow,1. FC Union Berlin,0,5.5,2.4,0.5,1,0,0,0,0,0,0,7,1.3,0.5,0.2,0.1,0,0.84,0,1.7,0
Aljoscha Kemlein,1. FC Union Berlin,0,5.5,2.4,0.5,2,0,0,0,0,0,0,7,1.3,0.5,0.2,0.1,0,0.84,0,1.7,0
Andreas Luthe,VfL Bochum,0,5.5,2.4,0.5,1,0,0,0,0,0,0,7,1.3,0.5,0.2,0.1,0,0.84,0,1.7,0
Antonios Papadopoulos,Borussia Dortmund,0,5.5,2.4,0.5,2,0,0,0,0,0,0,7,1.3,0.5,0.2,0.1,0,0.84,0,1.7,0
Asaf Arania,SV Darmstadt,0,5.5,2.4,0.5,1,0,0,0,0,0,0,7,1.3,0.5,0.2,0.1,0,0.84,0,1.7,0
Bambase Conte,TSG Hoffenheim,0,5.5,0.2,0.5,7,0,0,0,0,0,0,1,2.1,0.5,0.2,0.1,0,0.84,0,1.7,0
Bennit BrÃ¶ger,VfL Wolfsburg,0,5.5,2.4,0.5,1,0,0,0,0,0,0,7,1.3,0.5,0.2,0.1,0,0.84,0,1.7,0
Braydon Manu,SV Darmstadt,0,5.5,0.4,0.5,4,0,0,0,0,0,0,3,1.6,0.5,1,0.1,0,0.84,0,1.7,0
Chukwubuike Adamu,SC Freiburg,0,5.5,0.1,0.5,15,0,0,0,0,0,0,1,1,1,0.2,0.1,0,0.84,0,1.7,0
Daniel Batz,1. FSV Mainz 05,0,5.5,2.4,0.5,4,0,0,0,1,0,3,7,1.3,0.5,0.2,0.1,0,0.84,0,1.7,0
Daniel Peretz,Bayern München,0,5.5,2.4,0.5,1,0,0,0,0,0,0,7,1.3,0.5,0.2,0.1,0,0.84,0,1.7,0
David Mamutovic,1. FSV Mainz 05,0,5.5,2.4,0.5,2,0,0,0,0,0,0,7,1.3,0.5,0.2,0.1,0,0.84,0,1.7,0
Diadie SamassÃ©kou,TSG Hoffenheim,0,5.5,2.4,0.5,1,0,0,0,0,0,0,7,1.3,0.5,0.2,0.1,0,0.84,0,1.7,0
